SiteNumber,Type,LocationID,EffectiveDate,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,Owner,OwnerAddress,OwnerCSZ,OwnerPhone,Manager,ManagerAddress,ManagerCSZ,ManagerPhone,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS,ARPMethod,ARPElevation,ARPElevationMethod,MagneticVariation,MagneticVariationYear,TrafficPatternAltitude,ChartName,DistanceFromCBD,DirectionFromCBD,LandAreaCoveredByAirport,BoundaryARTCCID,BoundaryARTCCComputerID,BoundaryARTCCName,ResponsibleARTCCID,ResponsibleARTCCComputerID,ResponsibleARTCCName,TieInFSS,TieInFSSID,TieInFSSName,AirportToFSSPhoneNumber,TieInFSSTollFreeNumber,AlternateFSSID,AlternateFSSName,AlternateFSSTollFreeNumber,NOTAMFacilityID,NOTAMService,ActiviationDate,AirportStatusCode,CertificationTypeDate,FederalAgreements,AirspaceDetermination,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights,InspectionMethod,InspectionGroup,LastInspectionDate,LastOwnerInformationDate,FuelTypes,AirframeRepair,PowerPlantRepair,BottledOxygenType,BulkOxygenType,LightingSchedule,BeaconSchedule,ATCT,UNICOMFrequencies,CTAFFrequency,SegmentedCircle,BeaconColor,NonCommercialLandingFee,MedicalUse,SingleEngineGA,MultiEngineGA,JetEngineGA,HelicoptersGA,GlidersOperational,MilitaryOperational,Ultralights,OperationsCommercial,OperationsCommuter,OperationsAirTaxi,OperationsGALocal,OperationsGAItin,OperationsMilitary,OperationsDate,AirportPositionSource,AirportPositionSourceDate,AirportElevationSource,AirportElevationSourceDate,ContractFuelAvailable,TransientStorage,OtherServices,WindIndicator
24194.*A,AIRPORT,LRD,5/31/12,ASW,TEX,TX,TEXAS,WEBB,TX,LAREDO,LAREDO INTL,PU,PU,CITY OF LAREDO,PO BOX 579,"LAREDO, TX 78041",    956-791-7300,JOSE FLORES,5210 BOB BULLOCK LOOP,"LAREDO, TX 78041",    956-795-2000,27-32-39.1000N,099159.1000N,099-27-41.7000W,358061.7000W,E,508,S,08E,1985,,BROWNSVILLE,3,NE,1796,ZHU,ZCH,HOUSTON,,,,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,LRD,Y,,O,I B S 07/1975,NGPY,NO OBJECTION,Y,N,N,Y,F,F,10292010,,100LLA,,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,122.95,120.1,Y,CG,N,,14,9,18,5,,,,3951,,10551,4601,18486,20155,9/30/10,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AFRT,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
24239.*A,AIRPORT,GGG,5/31/12,ASW,TEX,TX,TEXAS,GREGG,TX,LONGVIEW,EAST TEXAS RGNL,PU,PU,GREGG COUNTY,GREGG COUNTY COURTHOUSE,"LONGVIEW, TX 75601",    903-758-6181,RICK DAVIS,269 TERMINAL CIRCLE,"LONGVIEW, TX 75603",    903-643-3031,32-23-02.4520N,116582.4520N,094-42-41.3520W,340961.3520W,E,365,S,03E,2010,,MEMPHIS,8,S,1300,ZFW,ZCF,FORT WORTH,,,,N,FTW,FORT WORTH,817-541-3474,1-800-WX-BRIEF,,,,GGG,Y,7/1/45,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,8102011,,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,119.2,Y,CG,N,,57,23,18,1,,,,905,,1738,40295,27684,4328,6/30/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y-L
24245.*A,AIRPORT,LBB,5/31/12,ASW,TEX,TX,TEXAS,LUBBOCK,TX,LUBBOCK,LUBBOCK PRESTON SMITH INTL,PU,PU,CITY OF LUBBOCK,PO BOX 2000,"LUBBOCK, TX 79457",    806-775-3000,JAMES LOOMIS,RT 3 BOX 389,"LUBBOCK, TX 79401",    806-775-3126,33-39-49.1000N,121189.1000N,101-49-22.0000W,366562.0000W,E,3282,S,09E,1985,,DALLAS-FT WORTH,4,N,3000,ZFW,ZCF,FORT WORTH,,,,N,FTW,FORT WORTH,817-541-3474,1-800-WX-BRIEF,,,,LBB,Y,11/1/37,O,I C S 05/1973,NGPY,NO OBJECTION,N,Y,N,Y,F,F,6032009,,100LLA    A1+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,97,27,5,5,,,,14116,,19090,10028,27797,6765,2/28/09,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CHTR,INSTR,SALES",Y-L
24260.*A,AIRPORT,MFE,5/31/12,ASW,TEX,TX,TEXAS,HIDALGO,TX,MC ALLEN,MC ALLEN MILLER INTL,PU,PU,CITY OF MC ALLEN,P O BOX 220,"MC ALLEN, TX 78502",    956-681-1000,PHILIP BROWN,2500 S BICENTENNIAL BLVD,"MC ALLEN, TX 78503-3140",    956-681-1500,26-10-33.0000N,094233.0000N,098-14-19.0000W,353659.0000W,E,107,S,07E,1980,,BROWNSVILLE,2,S,370,ZHU,ZCH,HOUSTON,,,,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,MFE,Y,1/1/40,O,I C S 05/1973,NGY,NO OBJECTION,Y,N,N,Y,F,F,3082012,,100LLA,MAJOR,MAJOR,HIGH,,SEE RMK,SS-SR,Y,122.95,118.5,Y,CG,N,,61,25,13,10,,,,7648,,2904,11310,36812,7147,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
24353.*A,AIRPORT,MAF,5/31/12,ASW,TEX,TX,TEXAS,MIDLAND,TX,MIDLAND,MIDLAND INTL,PU,PU,CITY OF MIDLAND,PO BOX 1152,"MIDLAND, TX 79702",    432-685-7100,MARVIN ESTERLY,PO BOX 60305,"MIDLAND, TX 79711",    432-560-2200,31-56-33.1000N,114993.1000N,102-12-06.9000W,367926.9000W,E,2872,S,09E,1985,,SAN ANTONIO,8,SW,1600,ZFW,ZCF,FORT WORTH,,,,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,MAF,Y,9/1/37,O,I B S 05/1973,NGPY,NO OBJECTION,N,Y,N,Y,F,F,3312011,,100LLA    A1   A1+  B,MAJOR,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,122.95,118.7,Y,CG,Y,,25,34,15,1,,,,8327,,14921,2908,23187,23352,2/28/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
24693.*A,AIRPORT,SJT,5/31/12,ASW,TEX,TX,TEXAS,TOM GREEN,TX,SAN ANGELO,SAN ANGELO RGNL/MATHIS FIELD,PU,PU,CITY OF SAN ANGELO,BOX 1751,"SAN ANGELO, TX 76902",    325-657-4241,LUIS E. ELGUEZABAL,8618 TERMINAL CIRCLE SUITE 101,"SAN ANGELO, TX 78904",    325-659-6409,31-21-27.9000N,112887.9000N,100-29-46.7000W,361786.7000W,E,1919,S,09E,1980,,SAN ANTONIO,7,SW,1503,ZFW,ZCF,FORT WORTH,,,,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,SJT,Y,9/1/43,O,I B S 05/1973,NGPY,NO OBJECTION,N,N,N,Y,F,F,12022010,,100LLA    B+,MAJOR,MAJOR,LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.3,Y,CG,N,,96,16,5,14,,13,,5800,,5149,22568,19102,45899,10/31/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L
24709.*A,AIRPORT,SAT,5/31/12,ASW,TEX,TX,TEXAS,BEXAR,TX,SAN ANTONIO,SAN ANTONIO INTL,PU,PU,CITY OF SAN ANTONIO,100 MILITARY PLAZA,"SAN ANTONIO, TX 78207",    210-207-7253,FRANK R. MILLER,9800 AIRPORT BLVD,"SAN ANTONIO, TX 78216",    210-207-3450,29-32-01.3000N,106321.3000N,098-28-11.2000W,354491.2000W,E,809,S,08E,1980,,SAN ANTONIO,7,N,2305,ZHU,ZCH,HOUSTON,,,,N,SJT,SAN ANGELO,,1-800-WX-BRIEF,,,,SAT,Y,7/1/42,O,I C S 05/1973,NGYP3,NO OBJECTION,N,Y,N,Y,F,F,12202011,,100LLA,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,87,39,71,9,,,,95286,,20720,0,58965,4884,10/30/11,NGS,,,,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
24947.*A,AIRPORT,TYR,5/31/12,ASW,TEX,TX,TEXAS,SMITH,TX,TYLER,TYLER POUNDS RGNL,PU,PU,CITY OF TYLER,PO BOX 2039,"TYLER, TX 75710",    903-531-9825,DAVIS DICKSON,"700 SKYWAY BLVD, SUITE 201","TYLER, TX 75704",    903-531-2343,32-21-14.9000N,116474.9000N,095-24-08.5900W,343448.5900W,E,544,S,06E,1985,,DALLAS-FT WORTH,3,W,1200,ZFW,ZCF,FORT WORTH,,,,N,FTW,FORT WORTH,817-541-3474,1-800-WX-BRIEF,,,,TYR,Y,11/1/37,O,I A S 05/1973,NGY3,NO OBJECTION,N,N,N,Y,F,F,8122011,,100LLA,MAJOR,MAJOR,HIGH,HIGH,SEE RMK,SS-SR,Y,122.95,120.1,Y,CG,N,,91,25,33,3,,,,1180,,6826,15301,25070,300,7/31/11,NGS,,,,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
24971.*A,AIRPORT,VCT,5/31/12,ASW,TEX,TX,TEXAS,VICTORIA,TX,VICTORIA,VICTORIA RGNL,PU,PU,COUNTY OF VICTORIA,VICTORIA CO COURTHOUSE RM 102,"VICTORIA, TX 77901",    361-575-4558,JASON MILEWSKI,609 FOSTER FIELD DR SUITE F,"VICTORIA, TX 77904",    361-578-2704,28-51-09.1650N,103869.1650N,096-55-06.5594W,348906.5594W,E,115,S,04E,2010,,HOUSTON,5,NE,1766,ZHU,ZCH,HOUSTON,,,,N,CXO,MONTGOMERY COUNTY,,1-800-WX-BRIEF,,,,VCT,Y,12/1/41,O,I A S 09/1982,NGPY,NO OBJECTION,N,N,N,Y,F,F,5062010,,100LLA,MINOR,MINOR,,,SEE RMK,SS-SR,Y,122.7,126.075,Y,CG,N,,31,6,1,1,,,,1460,,1170,4865,8954,29178,5/30/09,FAA-EST,00:00.0,3RD PARTY SURVEY,00:00.0,Y,"HGR,TIE","AFRT,INSTR",Y-L
24976.*A,AIRPORT,ACT,5/31/12,ASW,TEX,TX,TEXAS,MC LENNAN,TX,WACO,WACO RGNL,PU,PU,CITY OF WACO,PO BOX 2570,"WACO, TX 76702-2570",    254-750-5640,JOEL C. MARTINEZ,7909 KARL MAY DRIVE,"WACO, TX 76708",    254-750-8657,31-36-43.9000N,113803.9000N,097-13-49.1000W,350029.1000W,E,516,S,07E,1985,,SAN ANTONIO,5,NW,1369,ZFW,ZCF,FORT WORTH,,,,N,FTW,FORT WORTH,817-541-3474,1-800-WX-BRIEF,,,,ACT,Y,7/1/43,O,I A S 05/1973,NGRY3,NO OBJECTION,N,N,N,Y,F,F,3152012,,100LLA,MAJOR,MAJOR,NONE,HIGH,SEE RMK,SS-SR,Y,122.95,119.3,Y,CG,N,,46,20,,2,,,,1943,,4403,5181,16687,3114,12/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE",CHTR,
25029.*A,AIRPORT,SPS,5/31/12,ASW,TEX,TX,TEXAS,WICHITA,TX,WICHITA FALLS,SHEPPARD AFB/WICHITA FALLS MUNI,MA,PU,UNITED STATES AIR FORCE.,SHEPPARD AFB,"WICHITA FALLS, TX 76311",,MONICA MORRIS,PO BOX 1431,"WICHITA FALLS, TX 76301",    940-855-3623,33-59-19.6900N,122359.6900N,098-29-30.8500W,354570.8500W,E,1019,S,05E,2010,,DALLAS-FT WORTH,5,N,3800,ZFW,ZCF,FORT WORTH,,,,N,FTW,FORT WORTH,817-541-3474,1-800-WX-BRIEF,,,,SPS,Y,,O,I A S 05/1973,NGY,NOT ANALYZED,N,N,Y,N,F,F,7092009,,100LLA,MINOR,MINOR,NONE,,SEE RMK,SS-SR,Y,122.95,119.75,N,CG,N,,7,11,3,,,200,,2973,,,4211,2105,313674,6/30/09,MILITARY,00:00.0,,,,TIE,,Y-L
25117.*A,AIRPORT,CDC,5/31/12,ANM,DEN,UT,UTAH,IRON,UT,CEDAR CITY,CEDAR CITY RGNL,PU,PU,CEDAR CITY CORPORATION,10 NORTH MAIN,"CEDAR CITY, UT 84720",    435-586-2950,RUSS VOLK,2560 AVIATION WAY,"CEDAR CITY, UT 84720",    435-867-9408,37-42-03.4790N,135723.4790N,113-05-55.8450W,407155.8450W,E,5622,S,14E,1990,777,LAS VEGAS,2,NW,1040,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,CDC,Y,1/1/38,O,I A S 12/2005,NGSY3,NO OBJECTION,N,N,N,Y,F,F,8102011,,100LLA,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,N,123,123,Y,CG,N,,52,11,1,3,,,0,3650,,4490,16150,5525,250,1/1/11,NACO,00:00.0,NACO,00:00.0,,"HGR,TIE","AFRT,AGRI,AMB,CARGO,CHTR,INSTR,RNTL,SALES,TOW",Y-L
25186.*A,AIRPORT,LGU,5/31/12,ANM,DEN,UT,UTAH,CACHE,UT,LOGAN,LOGAN-CACHE,PU,PU,LOGAN CITY & CACHE CO,199 N. MAIN,"LOGAN, UT 84321",    435-752-8111,STEWART HUNSAKER,199 N. MAIN,"LOGAN, UT 84321",  (435) 752-8111,41-47-28.6217N,150448.6217N,111-51-05.7938W,402665.7938W,E,4457,S,14E,2000,,SALT LAKE CITY,3,NW,739,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,LGU,Y,11/1/37,O,IV A U 08/2008,NGY3,NO OBJECTION,N,N,N,Y,S,F,7072009,,100LLA,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,103,8,4,7,2,0,2,38,,1210,67650,3880,50,12/31/10,FAA-EST,00:00.0,NGS,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
25205.1*A,AIRPORT,CNY,5/31/12,ANM,DEN,UT,UTAH,GRAND,UT,MOAB,CANYONLANDS FIELD,PU,PU,GRAND COUNTY,125 E. CENTER,"MOAB, UT 84532",    435-259-1321,KELLY BRAUN,125 E. CENTER,"MOAB, UT 84532",    435-259-4849,38-45-17.8420N,139517.8420N,109-45-17.4380W,395117.4380W,E,4557,S,15E,1975,,DENVER,18,NW,985,ZDV,ZCD,DENVER,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,CNY,Y,8/1/63,O,III A S 06/2006,NGSY,NO OBJECTION,N,N,N,Y,S,F,8302011,,100LLA,MINOR,MINOR,,HIGH/LOW,SEE RMK,,N,122.8,122.8,Y,CG,N,,12,0,0,0,,,2,1200,,3400,2100,3300,150,8/30/11,NACO,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
25233.*A,AIRPORT,OGD,5/31/12,ANM,DEN,UT,UTAH,WEBER,UT,OGDEN,OGDEN-HINCKLEY,PU,PU,OGDEN CITY CORPORATION,2484 WASHINGTON BLVD,"OGDEN, UT 84401",    801-629-8100,ROYAL ECCLES,3909 AIRPORT RD.,"ODGEN, UT 84405",    801-629-8251,41-11-44.3969N,148304.3969N,112-00-46.5725W,403246.5725W,E,4473,S,14E,1985,,SALT LAKE CITY,3,SW,720,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,OGD,Y,12/1/41,O,IV A U 08/2007,NGY3,NO OBJECTION,N,N,N,Y,F,F,8082011,,100  A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,118.7,Y,CG,N,,203,27,7,10,2,,3,17,,0,47270,24342,414,12/31/10,OWNER,00:00.0,NGS,00:00.0,,"HGR,TIE","AGRI,AVNCS,CHTR,INSTR,PAJA,RNTL,SALES,SURV",Y-L
25269.*A,AIRPORT,PVU,5/31/12,ANM,DEN,UT,UTAH,UTAH,UT,PROVO,PROVO MUNI,PU,PU,CITY OF PROVO,BOX 1849,"PROVO, UT 84603",    801-852-6715,STEVE GLEASON,BOX 1849,"PROVO, UT 84603",    801-852-6715,40-13-09.1000N,144789.1000N,111-43-24.1000W,402204.1000W,E,4497,S,12E,2010,,SALT LAKE CITY,2,SW,869,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,PVU,Y,9/1/42,O,I B U 05/2005,NGY3,NO OBJECTION,N,N,N,Y,F,S,5022011,,100  A,MAJOR,MAJOR,LOW,LOW,SEE RMK,SS-SR,Y,,125.3,Y,CG,N,,66,37,3,8,,,,3045,,300,112725,55744,200,12/31/11,NGS,,,,,"HGR,TIE","AMB,CHTR,INSTR,RNTL,SURV",Y-L
25289.*A,AIRPORT,SLC,5/31/12,ANM,DEN,UT,UTAH,SALT LAKE,UT,SALT LAKE CITY,SALT LAKE CITY INTL,PU,PU,SALT LAKE CITY,CITY AND COUNTY BLDG,"SALT LAKE CITY, UT 84101",    801-575-2401,MAUREEN RILEY,P.O. BOX 145550,"SALT LAKE CITY, UT 84114-5550",    801-575-2401,40-47-18.1960N,146838.1960N,111-58-39.9830W,403119.9830W,E,4227,S,14E,1995,,SALT LAKE CITY,3,W,7700,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,SLC,Y,11/1/38,O,I E S 05/1973,NGPY,NO OBJECTION,N,Y,Y,Y,F,F,5132009,,100LLA1+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,N,CG,N,,204,46,36,15,0,9,,182604,,122135,2235,57897,2019,12/31/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25282.02*A,AIRPORT,SGU,5/31/12,ANM,DEN,UT,UTAH,BEAVER,UT,ST GEORGE,ST GEORGE MUNI,PU,PU,CITY OF ST GEORGE,175 E 200 N,"ST GEORGE, UT 84770",    435-634-5822,RICHARD STEHMEIER,4550 S. AIRPORT PKWY,"ST GEORGE, UT 84770",    435-627-4080,37-02-11.0000N,133331.0000N,113-30-37.1000W,408637.1000W,E,2884,S,12E,2010,,LAS VEGAS,5,SE,,ZLA,ZCL,LOS ANGELES,,,,,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,SGU,Y,1/1/11,O,I B S 01/2011,,,,,,,,F,8192011,,100LLA,MAJOR,MAJOR,,LOW,SEE RMK,,N,122.8,122.8,Y,CG,,,150,12,4,7,2,0,2,8280,,9255,36000,8500,175,12/31/11,3RD PARTY SURVEY,00:00.0,AVN,,,"HGR,TIE","AFRT,AMB,AVNCS,INSTR,RNTL,SALES",Y-L
25324.*A,AIRPORT,VEL,5/31/12,ANM,DEN,UT,UTAH,UINTAH,UT,VERNAL,VERNAL RGNL,PU,PU,UINTAH CO AND VERNAL CITY,825 SOUTH 500 E,"VERNAL, UT 84078",    435-789-3400,KELLY HARVEY,825 SOUTH 500 E,"VERNAL, UT 84078",    435-789-3400,40-26-27.3000N,145587.3000N,109-30-35.7000W,394235.7000W,E,5278,S,13E,2000,,SALT LAKE CITY,1,SE,254,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,VEL,Y,5/1/45,O,III A S 06/2006,NGY,NO OBJECTION,N,N,N,Y,F,F,5042011,,100LLA,MAJOR,MAJOR,,HIGH/LOW,SEE RMK,SS-SR,N,122.7,122.7,Y,CG,N,,23,4,0,1,,,8,,,1460,4750,2750,,12/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AGRI,CHTR,INSTR,RNTL",Y-L
25333.*A,AIRPORT,ENV,5/31/12,ANM,DEN,UT,UTAH,TOOELE,UT,WENDOVER,WENDOVER,PU,PU,TOOELE COUNTY,BOX 159,"WENDOVER, UT 84083",    435-665-2308,RICHARD BROWN,BOX 159,"WENDOVER, UT 84083",    435-665-2308,40-43-07.3000N,146587.3000N,114-01-51.2000W,410511.2000W,E,4237,S,16E,1980,,SALT LAKE CITY,1,SE,1960,ZLC,ZCU,SALT LAKE CITY,,,,N,CDC,CEDAR CITY,,1-800-WX-BRIEF,,,,ENV,Y,2/1/73,O,I B S 04/2005,NPY,NOT ANALYZED,N,N,N,Y,F,F,8102011,,100  A,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,2,0,5,0,,,,766,,,268,3371,604,12/31/11,NGS,00:00.0,NGS,00:00.0,,HGR,,Y
25666.*A,AIRPORT,CHO,5/31/12,AEA,DCA,VA,VIRGINIA,ALBEMARLE,VA,CHARLOTTESVILLE,CHARLOTTESVILLE-ALBEMARLE,PU,PU,CHRLTSVL-ALBMRL ARPT AUTH,"100 BOWEN LOOP, SUITE 200","CHARLOTTESVILLE, VA 22911",    434-973-8341,WILLIAM PAHUTA,"100 BOWEN LOOP, SUITE 200","CHARLOTTESVILLE, VA 22911",    434-973-8342,38-08-19.1000N,137299.1000N,078-27-10.3000W,282430.3000W,E,639,S,08W,1985,,WASHINGTON,7,N,610,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,CHO,Y,,O,I B S 05/1973,NGYH,NOT ANALYZED,N,N,N,Y,F,F,2142012,,100LLA,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,Y,122.95,124.5,N,CG,Y,,49,7,11,1,,,,75,,15575,17139,32594,4211,12/31/11,NGS,00:00.0,,,,"HGR,TIE","CHTR,INSTR,RNTL",Y-L
25863.*A,AIRPORT,LYH,5/31/12,AEA,DCA,VA,VIRGINIA,CAMPBELL,VA,LYNCHBURG,LYNCHBURG RGNL/PRESTON GLENN FLD,PU,PU,CITY OF LYNCHBURG,"350 TERMINAL DRIVE, SUITE 100","LYNCHBURG, VA 24502",    434-455-6090,MARK COURTNEY,"350 TERMINAL DRIVE, SUITE 100","LYNCHBURG, VA 24502",    434-455-6090,37-19-31.4000N,134371.4000N,079-12-04.4000W,285124.4000W,E,938,S,09W,2005,,CINCINNATI,5,SW,872,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,LYH,Y,8/1/37,O,I A S 05/1973,NGHVY3,NOT ANALYZED,N,N,N,Y,F,F,4042011,,100LLA,MAJOR,MAJOR,HIGH,NONE,SEE RMK,SS-SR,Y,122.95,127.65,N,CG,N,,57,9,6,4,0,0,1,6,,5863,34946,43261,1898,2/28/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25897.*A,AIRPORT,PHF,5/31/12,AEA,DCA,VA,VIRGINIA,NEWPORT NEWS,VA,NEWPORT NEWS,NEWPORT NEWS/WILLIAMSBURG INTL,PU,PU,PENINSULA ARPT CMSN,"900 BLAND BLVD, SUITE G","NEWPORT NEWS, VA 23602",    757-877-0221,KEN SPIRITO,"900 BLAND BLVD, SUITE G","NEWPORT NEWS, VA 23602",    757-877-0221,37-07-54.8000N,133674.8000N,076-29-34.7000W,275374.7000W,E,42,S,09W,1985,,WASHINGTON,9,NW,1800,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,PHF,Y,11/1/48,O,I B S 05/1973,NGPSY,NOT ANALYZED,N,Y,N,Y,F,F,7072011,,100LLA,MAJOR,MAJOR,LOW,NONE,SEE RMK,SS-SR,Y,122.95,118.7,N,CG,Y,,76,11,19,0,,,,23026,,,36350,35338,32803,5/31/11,3RD PARTY SURVEY,00:00.0,3RD PARTY SURVEY,00:00.0,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25905.*A,AIRPORT,ORF,5/31/12,AEA,DCA,VA,VIRGINIA,NORFOLK,VA,NORFOLK,NORFOLK INTL,PU,PU,NORFOLK AIRPORT AUTH,2200 NORVIEW AVE,"NORFOLK, VA 23518-5807",    757-857-3351,"WAYNE SHANK, EXEC DIR",2200 NORVIEW AVE,"NORFOLK, VA 23518-5807",    757-857-3344,36-53-40.6000N,132820.6000N,076-12-04.4000W,274324.4000W,E,27,S,09W,1985,,WASHINGTON,3,NE,1300,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,ORF,Y,3/1/38,O,I C S 05/1973,NGHRY3,NOT ANALYZED,N,Y,Y,Y,F,F,8122011,,100LLA,MAJOR,MAJOR,LOW,HIGH/LOW,,SS-SR,Y,,,N,CG,Y,,55,31,18,3,,,,33891,,31599,16548,10000,1260,12/31/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AVNCS,CARGO,CHTR,INSTR,RNTL,SALES",Y-L
25977.*A,AIRPORT,RIC,5/31/12,AEA,DCA,VA,VIRGINIA,HENRICO,VA,RICHMOND,RICHMOND INTL,PU,PU,CAPITAL REGION ARPT COMM.,1 RICHARD E BYRD TERMINAL DR,"RICHMOND, VA 23250",    804-226-3000,JON MATHIASEN,1 RICHARD E BYRD TERMINAL DR,"RICHMOND, VA 23250",    804-226-3000,37-30-18.6000N,135018.6000N,077-19-10.8000W,278350.8000W,E,167,S,09W,1985,,WASHINGTON,6,E,2500,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,RIC,Y,12/1/31,O,I C S 05/1973,NGHRY,NOT ANALYZED,N,Y,Y,Y,F,F,6212011,9201987,100LLA,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,Y,122.95,,N,CG,Y,,20,19,26,3,,27,,26556,,42886,25323,2902,8679,5/31/11,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","CARGO,CHTR,INSTR",Y-L
25986.*A,AIRPORT,ROA,5/31/12,AEA,DCA,VA,VIRGINIA,ROANOKE,VA,ROANOKE,ROANOKE RGNL/WOODRUM FIELD,PU,PU,ROANOKE REG ARPT CMSN,5202 AVN DR.,"ROANOKE, VA 24012-1148",    540 362-1999,JACQUELINE SHUCK EXEC DIR,5202 AVN DR.,"ROANOKE, VA 24012-1148",    540-362-1999,37-19-31.7000N,134371.7000N,079-58-31.5000W,287911.5000W,E,1175,S,08W,2010,800,CINCINNATI,3,NW,950,ZDC,ZCW,WASHINGTON,,,,N,DCA,LEESBURG,1-703-723-4588,1-800-WX-BRIEF,,,,ROA,Y,5/1/30,O,I B S 05/1973,NGHY3,NOT ANALYZED,N,N,N,Y,F,F,8202010,,100LLA,MAJOR,MAJOR,NONE,HIGH/LOW,SS-SR,SS-SR,Y,122.95,,,CG,N,,98,21,4,,,,,2161,,21334,4680,15411,1244,6/30/10,NGS,00:00.0,NGS,00:00.0,,"HGR,TIE","AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES,SURV",Y-L
